time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-04-03 07:28:16.524 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,155187462144,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1554276496008, , , , ,3145728,1218, , , ,31,4,108,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,4,16,77402200,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-03 07:28:18.164 UTC, ,2349,7463757,2576,4315680, , ,222, ,32229, , , , , , , , , ,222,10, , , ,177,7,9, ,10479, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,3146336,155184304128,90,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3146336, ,1554276496008, , , , ,3145728,3806603, , , ,0, , , ,2, , , ,3, , , , , , , , , , , , ,4096,2,3145070,3, , , , , , ,4,21,214318184,-1, , , , , , ,32024, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21451, , ,10548,3,2, , , , , , 
2019-04-03 07:28:18.367 UTC, ,125,3168789,2576,22936, , ,3, ,291,3,0.01, , , , , , , ,3,3, ,2, ,2,1,4, ,283,16, , , , , , , , , , , , , ,3828312,2, ,3806688, , , , , , ,-1,-1, , , , , ,280,22321, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554276498242, , , , ,3145728,3828312, , ,24,0, , , ,2, , , ,3, , , , ,24, ,8274,8, , , , ,8270471,602, , , , , , , , ,8,37,240794256,-1, , , , , , ,277, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-03 07:28:18.394 UTC, ,125,3657901,2576,512048, , ,12,4,121,9,0.07, , , , , , , ,12,10, , ,4,6,7,11, ,190,46, , , , , , , , , , , , , ,3828312,2, ,3806688, , , , ,3828361,155183628288,91,91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3828361, ,1554276498242, ,1, , ,3145728,3828312, , ,66,0, , , ,1, , , ,3, , , , ,66,1,460079,18, , , ,2,34295,51, , , , , , , , , , ,251695632,-1, , , , , , ,341, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,201,71, , , , , , , , 
2019-04-03 07:30:29.702 UTC, ,125,3168789,2576,22936, , ,3, ,291,3,0.01, , , , , , , ,3,3, ,2, ,2,1,4, ,283,16, , , , , , , , , , , , , ,3828312,2, ,3806688, , , , ,3828361,155183575040,91,91, , , , , ,280,22321, , , , , , , , , , , , , , , , , , , , , , , , , ,3828361, ,1554276629202, , , , ,3145728,3828312, , ,24,0, , , ,2, , , ,3, , , , ,24, ,8274,8, , , , ,8270471,602, , , , , , , , ,5,21,25816096,-1, , , , , , ,277, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-03 07:30:31.312 UTC, ,94749,7769821,2576,4529344, , ,340,152,32131,219,0.01, , , , , , , ,340,14, , ,152,298,7,11, ,10499,9, , , , , , , , , , ,23894, , ,3828312,2, ,3806688, , , , ,6954051,155178852352,47,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6954051, ,1554276629202, , , , ,3145728,7453581, , ,387,0, , , ,3, , , ,3, , , , ,387,1,452714,222,3125690,3, ,2,332442,170, , , , , , , , ,4,19,28930104,-1, , , , , , ,32024, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10551, ,21446, , , , , , 
2019-04-03 07:30:31.578 UTC, ,125,3168813,2576,22960, , ,3, ,304,3,0.01, , , , , , , ,3,3, ,2, ,2,1,4, ,299,17, , , , , , , , , , , , , ,7839431,3, ,7453666, , , , , , ,-1,-1, , , , , ,296,44566, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1554276631421, , , , ,3145728,7839431, , ,25,0, , , ,2, , , ,3, , , , ,25, ,105268,12, , , , ,18999912,891, , , , , , , , ,9,40,78114752,-1, , , , , , ,291, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-03 07:30:32.136 UTC, ,125,6114325,2576,2968472, , ,176, ,2090,173,0.08, , , , , , , ,176,13, , , ,171,7,12, ,63229,10545, , , , , , , , , , ,1060,3, ,7839431,3, ,7453666, , , , ,7839480,155179565056,45,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7839480, ,1554276631421, , , , ,3145728,7839431, , ,10728,0, , , ,1, , , ,3, , , , ,10728,1,489316,344, , , ,2,2202501,10387, , , , , , , , ,1,4,240279864,-1, , , , , , ,63380, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,63240,71, , , , , , , , 
2019-04-03 07:31:08.511 UTC, ,125,3168813,2576,22960, , ,3, ,304,3,0.01, , , , , , , ,3,3, ,2, ,2,1,4, ,299,17, , , , , , , , , , , , , ,7839431,3, ,7453666, , , , ,7839480,155179515904,45,45, , , , , ,296,44566, , , , , , , , , , , , , , , , , , , , , , , , , ,7839480, ,1554276667933, , , , ,3145728,7839431, , ,25,0, , , ,2, , , ,3, , , , ,25, ,105268,12, , , , ,18999912,891, , , , , , , , ,5,22,38195208,-1, , , , , , ,291, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-03 07:31:10.324 UTC, ,92989,7757877,3096,4519160, , ,340, ,32011,337,0.01, , , , , , , ,340,14, , , ,298,7,11, ,10495,9, , , , , , , , , , ,31638,4, ,7839431,3, ,7453666, , , , ,11048562,155175317504,32,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11048562, ,1554276667933, , , , ,3145728,4296027057, , ,357,47, ,47, ,5, , , ,3,1, , , ,357,1,14442,8,2160528,4, ,2,711322,355,1048554,1, , , , , , ,4,21,39712232,-1, , , , , , ,32018, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10551, ,21446, , , , , , 
